objectid,parentid,filename,image_alt_text,title,subject,description,location,creator,publisher,contributor,date,archival date,date digitized,type,type_legacy,format,format_legacy,source,language,rights,rights_legacy,rightsstatement,display_template,object_location,image_small,image_thumb,title_legacy,unmapped_legacy,cdmid,cdmcreated,cdmmodified,cdmfile,cdmpath,thumbnailURL,viewerURL,structure
591a600,,591a600.jpg,"A grid of individual portraits showing children and one adult at the beginning. The children are smiling and wearing different shirts and blouses. In the middle of the grid, there is text that says, ""1959-1960, A.J. Winters Elementary, First Grade, Mrs. Anderson.""",1959-1960 AJ Winters First Grade Class,children;class portraits;elementary schools,"Class composite photographs from A. J. Winters Elementary School, Montpelier, Idaho  First row:  Mrs. Clarisee Anderson, unknown, Troy Wilcox, Eric Esterholdt, unknown, Mark Haddock, unknown, Randy Einzinger  Row 2:  Ronald Hymas, unknown, Gregory Hines, Jeffrey Cochran, Richard Hymas  Row 3:  Eric Evans, unknown, Danny Kunz, Roger Carver, Glenn Wright, Linda Arnell, unknown, unknown   Row 4:  Luana Hymas, unknown, Wendy Rigby, Doreen Munk, Shauna Swa, Ann Higley, unknown, unknown","Montpelier, Idaho","Enterprise School Photos, Tulsa, OK","Bear Lake County Library, Montpelier, Idaho",A.J. Winters Elementary School,1959,1959-1960,2009-04-02,Image;StillImage,,image/jpeg,Photograph,68pbarkdull75,eng,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Bear Lake Public Library at blcirc@dcdi.net for information.""","Photographs used with copyright permission from Lifetouch National School Studios, Inc.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/bear-lake-county/591a600.jpg,https://objects.lib.uidaho.edu/bear-lake-county/small/591a600_sm.jpg,https://objects.lib.uidaho.edu/bear-lake-county/thumbs/591a600_th.jpg,1959 1-A  A. J. Winters Elementary School  First Grade  Mrs. Anderson,We apologize for misspelled names and misidentified students.  Please send corrections to blkcolib@dcdi.net.,3,2009-04-27,2009-04-27,4.jp2,/p151201coll15/image/4.jp2,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll15&CISOPTR=3,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll15/id/3,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll15&CISOPTR=3
591b600,,591b600.jpg,"A collection of individual portraits of children and one adult organized into four rows. The adult is at the top left. Each child has a distinct pose and expression. In the middle, there is text that reads: ""1959-1960 A.J. Winters Elementary First Grade Mrs. Dunn.""",Mrs Dunn's 1959-1960 First Grade Class,students;class portraits;elementary schools,"Class composite photographs from A. J. Winters Elementary School, Montpelier, Idaho   Row 1:  Mrs. Rose Dunn, Wendy Pitchford, unknown, Marsha Bateman, unknown, Chad Matthews, Rocky Suter, unknown    Row 2:  Janice Bird, unknown, unknown, Monte Hymas, Bruce Williamson   Row 3:  unknown, unknown, Darlo Linford, unknown, Wade Lewis, Marilyn Transtrum, Crystal Jensen, Debra Watkins   Row 4:  Donna Parker, Cherilyn Clay, unknown, Christie Rowland, Julie Kibby, Sylvia Layland, Linda Nelson, unknown","Montpelier, Idaho","Enterprise School Photos, Tulsa, OK","Bear Lake County Library, Montpelier, Idaho",A.J. Winters Elementary School,1959,1959-1960,2009-04-27,Image;StillImage,,image/jpeg,Photograph,68pDunn75,eng,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Bear Lake Public Library at blcirc@dcdi.net for information.""","Photographs used with copyright permission from Lifetouch National School Studios, Inc.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/bear-lake-county/591b600.jpg,https://objects.lib.uidaho.edu/bear-lake-county/small/591b600_sm.jpg,https://objects.lib.uidaho.edu/bear-lake-county/thumbs/591b600_th.jpg,1959 1-B  A.J. Winters Elementary School  First Grade  Mrs. Dunn,We apologize for misspelled names and misidentified students.  Please send corrections to blkcolib@dcdi.net.,4,2009-04-27,2009-04-27,5.jp2,/p151201coll15/image/5.jp2,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll15&CISOPTR=4,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll15/id/4,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll15&CISOPTR=4
591c600,,591c600.jpg,"A grid of school portraits depicting young children and one adult. There are four rows of smaller portraits. To the right of the first two rows, text reads: ""1959-1960 A. J. Winters Elementary First Grade Mrs. Evans."" The children are shown from the shoulders up, and they are wearing a variety of clothes including dresses, shirts, and sweaters. The adult appears to be at the top left.",1959-1960 A J Winters First Grade Class,students;class portraits;elementary schools,"Class composite photographs from A. J. Winters Elementary School, Montpelier, Idaho  Row 1:  Mrs. Lucille Evans, Leslie Jensen, Jan Loveless, ?Law, unknown, Anita Nelson, Denny Anderson, Rhonda Price   Row 2:  unknown, Barbara Cook, Irene Langford, Stephen Phelps   Row 3:  Craig Stewart, unknown,Robin Doman, Lauri Hyldahl, Val Danks, Kevin Owsley, unknown, Jeanne Sneddon   Row 4:  Jeannie Hymas, Cathy Lewis, unknown, unknown, John Keetch, Roger Law, Diane Powelson, Randy Wilkes.","Montpelier, Idaho","Enterprise School Photos, Tulsa, OK","Bear Lake County Library, Montpelier, Idaho",A.J. Winters Elementary School,1959,1959-1960,2009-04-27,Image;StillImage,,image/jpeg,Photograph,68pesterholdt75,eng,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Bear Lake Public Library at blcirc@dcdi.net for information.""","Photographs used with copyright permission from Lifetouch National School Studios, Inc.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/bear-lake-county/591c600.jpg,https://objects.lib.uidaho.edu/bear-lake-county/small/591c600_sm.jpg,https://objects.lib.uidaho.edu/bear-lake-county/thumbs/591c600_th.jpg,1959 1-C  A. J. Winters Elementary School  First Grade  Mrs. Evans,We apologize for misspelled names and misidentified students.  Please send corrections to blkcolib@dcdi.net.,5,2009-04-27,2009-06-19,6.jp2,/p151201coll15/image/6.jp2,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll15&CISOPTR=5,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll15/id/5,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll15&CISOPTR=5
592a600,,592a600.jpg,"A grid of individual portraits of children and one adult, possibly a teacher, wearing various outfits. In the center of the image, there is text that reads ""1959-1960 A.J. Winters Elementary Second Grade Mrs. Pendrey."" The rows show the children in different styles of shirts and dresses.",1959-1960 AJ Winters Elementary Second Grade Class,children;class portraits;elementary schools,"Class composite photographs from A. J. Winters Elementary School, Montpelier, Idaho  First Row :  Mrs. Berniece Pendrey, Lilas Ipsen, Jeannie Woolstenhulme, Kirk Pugmire, Teri Hill, unknown, Allen Laughter, Raylene Ward   Second Row:  Larry Kunz, Mary Ann Widmer, Carolyn Loertscher, Barry Davison, Ricky Woolstenhulme  Row 3:  Janet Smedley, Ann Otteson, Pete Nelson, unknown, Bruce Cochran, unknown, Kathy Pendrey, unknown  Row 4:  Rod Jacobson, Tonya Wuthrich, Kevin Hoff, Aileen Laughter, Vicki Kunz, unknown, unknown, unknown.","Montpelier, Idaho","Enterprise School Photos, Tulsa, OK","Bear Lake County Library, Montpelier, Idaho",A.J. Winters Elementary School,1959,1959-1960,2009-05-06,Image;StillImage,,image/jpeg,Photograph,68pevans75,eng,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Bear Lake Public Library at blcirc@dcdi.net for information.""","Photographs used with copyright permission from Lifetouch National School Studios, Inc.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/bear-lake-county/592a600.jpg,https://objects.lib.uidaho.edu/bear-lake-county/small/592a600_sm.jpg,https://objects.lib.uidaho.edu/bear-lake-county/thumbs/592a600_th.jpg,"1959  2A  A.J. Winters Elementary School  Second Grade, Mrs. Pendrey",We apologize for misspelled names and misidentified students.  Please send corrections to blkcolib@dcdi.net.,6,2009-05-06,2009-05-06,7.jp2,/p151201coll15/image/7.jp2,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll15&CISOPTR=6,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll15/id/6,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll15&CISOPTR=6
592b600,,592b600.jpg,"Rows of small portrait-style photos of children and one adult. The adult is at the start of the sequence, followed by three rows of children. Each child has a different expression and hairstyle. Text in the middle reads, ""1959-1960 A. J. Winters Elementary Second Grade Mrs. Parker.""",Mrs Parker's 1959-1960 Second Grade Class,students;class portraits;elementary schools,"Class composite photographs from A. J. Winters Elementary School, Montpelier, Idaho","Montpelier, Idaho","Enterprise School Photos, Tulsa, OK","Bear Lake County Library, Montpelier, Idaho",A.J. Winters Elementary School,1959,1959-1960,2009-05-06,Image;StillImage,,image/jpeg,Photograph,68pgrandy75,eng,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Bear Lake Public Library at blcirc@dcdi.net for information.""","Photographs used with copyright permission from Lifetouch National School Studios, Inc.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/bear-lake-county/592b600.jpg,https://objects.lib.uidaho.edu/bear-lake-county/small/592b600_sm.jpg,https://objects.lib.uidaho.edu/bear-lake-county/thumbs/592b600_th.jpg,1959 2-B    A. J. Winters Elementary School  Second Grade  Mrs. Parker,We apologize for misspelled names and misidentified students.  Please send corrections to blkcolib@dcdi.net.,7,2009-05-06,2009-05-06,8.jp2,/p151201coll15/image/8.jp2,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll15&CISOPTR=7,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll15/id/7,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll15&CISOPTR=7
592c600,,592c600.jpg,"A collage of individual portraits featuring young children and one adult arranged in four rows. In the center, text reads: ""1959-1960 A.J. Winters Elementary Second Grade Mrs. Aland."" Each student is photographed from the shoulders up, displaying a range of clothing styles typical of the era. All are positioned against a plain background.",1959-1960 AJ Winters Elementary Second Grade Class,children;class portraits;elementary schools,"Class composite photographs from A. J. Winters Elementary School, Montpelier, Idaho  Row 1:  Mrs. Mae Aland, Danny Gunn, Ramon Kunz, Allen Henrie, Don Burdick, Melody Smith, Sharlene Aland, Blair Keetch  Row 2:  Christy Larsen, Ricky Jean Price, Cynthia Barnson, Jon Davidson   Row 3:  Donna Wells, Jan Smith, unknown, Winifred Hymas, Christy Larsen, Rozann Jensen, Joyce Perkins   Row 4:  Bonnie Williams, Yvonne Kunz, Meredith Perkins, unknown, unknown, unknown, Bryce Lewis, Steven Portela","Montpelier, Idaho","Enterprise School Photos, Tulsa, OK","Bear Lake County Library, Montpelier, Idaho",A.J. Winters Elementary School,1959,1959-1960,2009-05-06,Image;StillImage,,image/jpeg,Photograph,68pjewett75,eng,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Bear Lake Public Library at blcirc@dcdi.net for information.""","Photographs used with copyright permission from Lifetouch National School Studios, Inc.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/bear-lake-county/592c600.jpg,https://objects.lib.uidaho.edu/bear-lake-county/small/592c600_sm.jpg,https://objects.lib.uidaho.edu/bear-lake-county/thumbs/592c600_th.jpg,1959 2-C   A. J. Winters Elementary School  Second Grade  Mrs. Aland,We apologize for misspelled names and misidentified students.  Please send corrections to blkcolib@dcdi.net.,8,2009-05-06,2009-05-06,9.jp2,/p151201coll15/image/9.jp2,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll15&CISOPTR=8,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll15/id/8,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll15&CISOPTR=8
593a600,,593a600.jpg,"Rows of individual portraits of children and a woman. Centered text reads: ""1959-1960 A.J. Winters Elementary Third Grade Mrs. Esterholdt.""",Mrs Esterholdt's 1959-1960 Third Grade Class,students;class portraits;elementary schools,"Class composite photograph from A. J. Winters Elementary School, Montpelier, Idaho  Row 1:  unknown, Kevin Bissegger, Ann Hunzeker,  Craig Price, JoLynn Spidell, Linda Perkins, Mike Hymas   Row 2:  Connie Esterholdt, unknown, Joleen Portela, Juane Twitchell, Mike Mahlock  Row 3:  unknown, Max Jensen, Susan Bartschi, Deena Walton, James Owsley, Merlyn Price, Richard Layland, Danny Buck  Row 4:  unknown, All Wolford?, Linda Wilcox, Mary Williams, Colleen Wilcox, Doug Toomer, David Hirschi, Mark Haddock","Montpelier, Idaho","Enterprise School Photos, Tulsa, OK","Bear Lake County Library, Montpelier, Idaho",A.J. Winters Elementary School,1959,1959-1960,2009-05-06,Image;StillImage,,image/jpeg,Photograph,68pmahlock75,eng,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Bear Lake Public Library at blcirc@dcdi.net for information.""","Photographs used with copyright permission from Lifetouch National School Studios, Inc.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/bear-lake-county/593a600.jpg,https://objects.lib.uidaho.edu/bear-lake-county/small/593a600_sm.jpg,https://objects.lib.uidaho.edu/bear-lake-county/thumbs/593a600_th.jpg,1959 3-A  A. J. Winters Elementary School  Third Grade   Mrs. Esterholdt,We apologize for misspelled names and misidentified students.  Please send corrections to blkcolib@dcdi.net.,9,2009-05-06,2009-05-06,10.jp2,/p151201coll15/image/10.jp2,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll15&CISOPTR=9,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll15/id/9,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll15&CISOPTR=9
593b600,,593b600.jpg,"Rows of individual portraits featuring children and a woman. The text reads ""1959-1960 A.J. Winters Elementary Third Grade Mrs. Jewett.""",Mrs Jewett's 1959-1960 Third Grade Class,children;class portraits;elementary schools,"Class composite photographs from A. J. Winters Elementary School, Montpelier, Idaho  Row 1:Mrs. Rosina Jewett, Kenneth Slack, Larry Grunig, unknown, Nancy Bunn, Sheila Grandy, Wayne Lloyd, John Aland   Row 2:  Lenna Payne, Lynette Peterson, Paul Hunzeker, Jenny Loertscher, Donna Nelson, Dale Munk   Row 3:  unknown,  Gail Wilde, Greg Jewell, Leslie Crane, unkown, Mary Williams  ?,  DeeAnn Smith, unknown  Row 4:  McKay Sleight, Paul Hunzeker, Arlene Wilcox, Judy Burdick, Linda Julian, Scott Loveless, Bill Beckwith, Karen Pool.","Montpelier, Idaho","Enterprise School Photos, Tulsa, OK","Bear Lake County Library, Montpelier, Idaho",A.J. Winters Elementary School,1959,1959-1960,2009-05-06,Image;StillImage,,image/jpeg,Photograph,68pkeetch75,eng,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Bear Lake Public Library at blcirc@dcdi.net for information.""","Photographs used with copyright permission from Lifetouch National School Studios, Inc.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/bear-lake-county/593b600.jpg,https://objects.lib.uidaho.edu/bear-lake-county/small/593b600_sm.jpg,https://objects.lib.uidaho.edu/bear-lake-county/thumbs/593b600_th.jpg,1959 3-B  A.J. Winters Elementary School  Third Grade   Mrs. Jewett,We apologize for misspelled names and misidentified students.  Please send corrections to blkcolib@dcdi.net.,10,2009-05-06,2009-05-06,11.jp2,/p151201coll15/image/11.jp2,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll15&CISOPTR=10,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll15/id/10,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll15&CISOPTR=10
593c600,,593c600.jpg,"A collection of headshots featuring a woman and several children arranged in rows. In the center, text reads: ""1959-1960 A. J. Winters Elementary Third Grade Mrs. Sharpe.""",Mrs Sharpe's 1959-1960 Third Grade Class,students;class portraits;elementary schools,"Class composite photographs from A. J. Winters Elementary School, Montpelier, Idaho  Row 1:Mrs. Gwen Sharpe, unknown, Corey Johnson, Garth Glenn, unkown, Debra Williams, Geraldine Wixom   Row 2:  Robert King, Kerry Passey, Eileen Orr, Jackie Dimick   Row 3:  Vickie Nield, Gaylen Wood, Kathleen Guyon, Sandra Doman, unknown, David Parker, Terrence Wilcox, Penny Perkins   Row 4:  Evelyn Petereit, DeeAnn Hill, unknown, Marsha Stephens, Gwendolyn Aland, unknown, Janet Wuthrich, Brent Ipsen.","Montpelier, Idaho","Enterprise School Photos, Tulsa, OK","Bear Lake County Library, Montpelier, Idaho",A.J. Winters Elementary School,1959,1959-1960,2009-05-06,Image;StillImage,,image/jpeg,Photograph,68ppendrey75,eng,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Bear Lake Public Library at blcirc@dcdi.net for information.""","Photographs used with copyright permission from Lifetouch National School Studios, Inc.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/bear-lake-county/593c600.jpg,https://objects.lib.uidaho.edu/bear-lake-county/small/593c600_sm.jpg,https://objects.lib.uidaho.edu/bear-lake-county/thumbs/593c600_th.jpg,1959 3-C   A. J. Winters Elementary School  Third Grade   Mrs. Sharpe,We apologize for misspelled names and misidentified students.  Please send corrections to blkcolib@dcdi.net.,11,2009-05-06,2009-05-06,12.jp2,/p151201coll15/image/12.jp2,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll15&CISOPTR=11,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll15/id/11,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll15&CISOPTR=11
594a600,,594a600.jpg,"A collection of individual portraits arranged in rows. In the center, text reads: ""1959-1960 A. J. Winters Elementary Fourth Grade Mrs. Jacobson."" Each portrait features a child, and there is one adult among them, likely the teacher. The children are smiling, and most of them are dressed in light-colored clothing.",AJ Winters 1959-1960 Fourth Grade Class,students;classrooms;portraits,"Class composite photographs from A. J. Winters Elementary School, Montpelier, Idaho","Montpelier, Idaho","Enterprise School Photos, Tulsa, OK","Bear Lake County Library, Montpelier, Idaho",A.J. Winters Elementary School,1959,1959-1960,2009-05-14,Image;StillImage,,image/jpeg,Photograph,68prigby75,eng,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Bear Lake Public Library at blcirc@dcdi.net for information.""","Photographs used with copyright permission from Lifetouch National School Studios, Inc.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/bear-lake-county/594a600.jpg,https://objects.lib.uidaho.edu/bear-lake-county/small/594a600_sm.jpg,https://objects.lib.uidaho.edu/bear-lake-county/thumbs/594a600_th.jpg,1959 A.J. Winters Elementary School  Fourth Grade  Mrs. Jacobson,We apologize for misspelled names and misidentified students.  Please send corrections to blkcolib@dcdi.net.,12,2009-05-14,2009-05-14,13.jp2,/p151201coll15/image/13.jp2,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll15&CISOPTR=12,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll15/id/12,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll15&CISOPTR=12
